,citations.OutFilm,citations.OutFilm_Year,citationsIndex.OutIndex,citations.InFilm,citations.InFilm_Year,citationsIndex.InIndex
1772,American Grindhouse 2010,2010,1,Eaten Alive 1977,1977,1942
1773,American Grindhouse 2010,2010,1,Fight for Your Life 1977,1977,1943
1774,American Grindhouse 2010,2010,1,Let Me Die a Woman 1977,1977,1944
1775,American Grindhouse 2010,2010,1,The Guy from Harlem 1977,1977,1945
1776,American Grindhouse 2010,2010,1,The Kentucky Fried Movie 1977,1977,1946
1777,American Grindhouse 2010,2010,1,The Pack 1977,1977,1947
1778,American Grindhouse 2010,2010,1,The Violation of Claudia 1977,1977,1948
1910,American Grindhouse 2010,2010,1,Animal House 1978,1978,1964
1911,American Grindhouse 2010,2010,1,Day of the Woman 1978,1978,1963
1912,American Grindhouse 2010,2010,1,Piranha 1978,1978,1965
1972,American Grindhouse 2010,2010,1,Beneath the Valley of the Ultra-Vixens 1979,1979,1982
1973,American Grindhouse 2010,2010,1,Fantasy 1979,1979,1983
2043,American Grindhouse 2010,2010,1,Alligator 1980,1980,2011
2044,American Grindhouse 2010,2010,1,The Blues Brothers 1980,1980,2012
2137,American Grindhouse 2010,2010,1,Same Time Every Year 1981,1981,2037
2138,American Grindhouse 2010,2010,1,The Howling 1981,1981,2038
2314,American Grindhouse 2010,2010,1,Cujo 1983,1983,2094
2315,American Grindhouse 2010,2010,1,Hot Pink: Best of Alex deRenzy 2 1983,1983,2095
2316,American Grindhouse 2010,2010,1,Scalps 1983,1983,2096
2317,American Grindhouse 2010,2010,1,Vigilante 1983,1983,2097
2393,American Grindhouse 2010,2010,1,Burlexxx 1984,1984,2122
2394,American Grindhouse 2010,2010,1,Gremlins 1984,1984,2123
2611,American Grindhouse 2010,2010,1,Sex with a Stranger 1986,1986,2188
2612,American Grindhouse 2010,2010,1,Three Amigos! 1986,1986,2189
2698,American Grindhouse 2010,2010,1,Innerspace 1987,1987,2233
2813,American Grindhouse 2010,2010,1,Hollywood Chainsaw Hookers 1988,1988,2280
2814,American Grindhouse 2010,2010,1,Maniac Cop 1988,1988,2281
2897,American Grindhouse 2010,2010,1,The 'Burbs 1989,1989,2327
2970,American Grindhouse 2010,2010,1,Maniac Cop 2 1990,1990,2367
3089,American Grindhouse 2010,2010,1,"Gas, Food Lodging 1992",1992,2420
3145,American Grindhouse 2010,2010,1,Maniac Cop 3: Badge of Silence 1993,1993,2450
3146,American Grindhouse 2010,2010,1,Mi vida loca 1993,1993,2451
3282,American Grindhouse 2010,2010,1,Attack of the 60 Foot Centerfolds 1995,1995,2506
3283,American Grindhouse 2010,2010,1,Bikini Drive-In 1995,1995,2507
3927,American Grindhouse 2010,2010,1,The Passion of the Christ 2004,2004,2821
4021,American Grindhouse 2010,2010,1,Hostel 2005,2005,2874
4222,American Grindhouse 2010,2010,1,American Gangster 2007,2007,3001
4223,American Grindhouse 2010,2010,1,Death Proof 2007,2007,3002
4224,American Grindhouse 2010,2010,1,Grindhouse 2007,2007,3003
4225,American Grindhouse 2010,2010,1,Planet Terror 2007,2007,2999
4226,American Grindhouse 2010,2010,1,The Wizard of Gore 2007,2007,3004
4348,American Grindhouse 2010,2010,1,Hell Ride 2008,2008,3084
4443,American Grindhouse 2010,2010,1,Black Dynamite 2009,2009,484
4585,American Grindhouse 2010,2010,1,Marihuana 1936,1936/I,3165
4588,American Grindhouse 2010,2010,1,The Trip 1967,1967/II,3168
2,Hugo 2011,2011,2,Corbett and Courtney Before the Kinetograph 1894,1894,1002
3,Hugo 2011,2011,2,Dickson Experimental Sound Film 1894,1894,1003
6,Hugo 2011,2011,2,The Kiss 1896,1896,1005
11,Hugo 2011,2011,2,The Great Train Robbery 1903,1903,1009
32,Hugo 2011,2011,2,Hell's Hinges 1916,1916,1026
33,Hugo 2011,2011,2,Intolerance: Love's Struggle Throughout the Ages 1916,1916,1027
38,Hugo 2011,2011,2,A Dog's Life 1918,1918,1032
42,Hugo 2011,2011,2,The Four Horsemen of the Apocalypse 1921,1921,1036
43,Hugo 2011,2011,2,The Kid 1921,1921,1037
50,Hugo 2011,2011,2,Robin Hood 1922,1922,1041
53,Hugo 2011,2011,2,Safety Last! 1923,1923,1044
57,Hugo 2011,2011,2,The Thief of Bagdad 1924,1924,1048
60,Hugo 2011,2011,2,Cobra 1925,1925,1051
61,Hugo 2011,2011,2,Tumbleweeds 1925,1925,1052
70,Hugo 2011,2011,2,The General 1926,1926,1058
79,Hugo 2011,2011,2,The Cameraman 1928,1928,1064
4,Vito 2011,2011,3,Dickson Experimental Sound Film 1894,1894,1003
20,Vito 2011,2011,3,"Algie, the Miner 1912",1912,1016
25,Vito 2011,2011,3,A Florida Enchantment 1914,1914,1021
30,Vito 2011,2011,3,A Woman 1915,1915,1024
54,Vito 2011,2011,3,The Soilers 1923,1923,1045
69,Vito 2011,2011,3,Stick Around 1925,1925,1057
77,Vito 2011,2011,3,Wings 1927,1927,1063
89,Vito 2011,2011,3,The Broadway Melody 1929,1929,1073
142,Vito 2011,2011,3,Palmy Days 1931,1931,1093
166,Vito 2011,2011,3,Call Her Savage 1932,1932,1106
167,Vito 2011,2011,3,Movie Crazy 1932,1932,1107
213,Vito 2011,2011,3,Blood Money 1933,1933,1123
214,Vito 2011,2011,3,Dancing Lady 1933,1933,1124
215,Vito 2011,2011,3,Ladies They Talk About 1933,1933,1111
216,Vito 2011,2011,3,Our Betters 1933,1933,1125
217,Vito 2011,2011,3,Queen Christina 1933,1933,1116
218,Vito 2011,2011,3,She Done Him Wrong 1933,1933,1126
219,Vito 2011,2011,3,Soda Squirt 1933,1933,1127
236,Vito 2011,2011,3,Wonder Bar 1934,1934,1130
251,Vito 2011,2011,3,Broadway Melody of 1936 1935,1935,1147
252,Vito 2011,2011,3,Top Hat 1935,1935,1148
253,Vito 2011,2011,3,Wig-Wag 1935,1935,1149
266,Vito 2011,2011,3,Dracula's Daughter 1936,1936,1160
282,Vito 2011,2011,3,Easy Living 1937,1937,1169
296,Vito 2011,2011,3,Bringing Up Baby 1938,1938,1179
376,Vito 2011,2011,3,Dark Victory 1939,1939,1190
377,Vito 2011,2011,3,The Wizard of Oz 1939,1939,1181
378,Vito 2011,2011,3,The Women 1939,1939,1192
411,Vito 2011,2011,3,Rebecca 1940,1940,1205
450,Vito 2011,2011,3,The Maltese Falcon 1941,1941,1208
499,Vito 2011,2011,3,Old Acquaintance 1943,1943,1245
500,Vito 2011,2011,3,The Gang's All Here 1943,1943,1246
512,Vito 2011,2011,3,Broadway Rhythm 1944,1944,1257
513,Vito 2011,2011,3,Laura 1944,1944,1256
552,Vito 2011,2011,3,Gilda 1946,1946,1280
587,Vito 2011,2011,3,Red River 1948,1948,1298
588,Vito 2011,2011,3,Rope 1948,1948,1307
629,Vito 2011,2011,3,Caged 1950,1950,1321
630,Vito 2011,2011,3,In a Lonely Place 1950,1950,1329
631,Vito 2011,2011,3,Summer Stock 1950,1950,1333
632,Vito 2011,2011,3,Young Man with a Horn 1950,1950,1334
653,Vito 2011,2011,3,Strangers on a Train 1951,1951,1342
698,Vito 2011,2011,3,Calamity Jane 1953,1953,1376
738,Vito 2011,2011,3,A Star Is Born 1954,1954,1391
779,Vito 2011,2011,3,Rebel Without a Cause 1955,1955,1398
888,Vito 2011,2011,3,Auntie Mame 1958,1958,1473
930,Vito 2011,2011,3,Ben-Hur 1959,1959,1477
931,Vito 2011,2011,3,Pillow Talk 1959,1959,1499
932,Vito 2011,2011,3,"Suddenly, Last Summer 1959",1959,1500
973,Vito 2011,2011,3,Spartacus 1960,1960,1512
1002,Vito 2011,2011,3,The Children's Hour 1961,1961,1535
1028,Vito 2011,2011,3,Advise & Consent 1962,1962,1554
1153,Vito 2011,2011,3,The Sound of Music 1965,1965,1623
1304,Vito 2011,2011,3,The Detective 1968,1968,1712
1305,Vito 2011,2011,3,The Killing of Sister George 1968,1968,1713
1306,Vito 2011,2011,3,The Sergeant 1968,1968,1714
1354,Vito 2011,2011,3,"Hello, Dolly! 1969",1969,1735
1355,Vito 2011,2011,3,Midnight Cowboy 1969,1969,1719
